tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
933.965868	5	3	6	1	1	Eabs	mean	1	8340
921.413396	5	3	7	1	1	Eabs	mean	1	7802
907.853220	5	3	8	1	1	Eabs	mean	1	7006
859.135122	5	3	9	1	1	Eabs	mean	1	6129
782.664504	5	3	10	1	1	Eabs	mean	1	5425
1703.650343	5	4	1	1	1	Eabs	mean	1	1888
1692.861285	5	4	2	1	1	Eabs	mean	1	3312
1675.977894	5	4	3	1	1	Eabs	mean	1	5523
1609.158474	5	4	4	1	1	Eabs	mean	1	8985
1476.257356	5	4	5	1	1	Eabs	mean	1	13547
1466.809582	5	4	6	1	1	Eabs	mean	1	15642
1444.501808	5	4	7	1	1	Eabs	mean	1	15226
1405.410972	5	4	8	1	1	Eabs	mean	1	13773
1324.199200	5	4	9	1	1	Eabs	mean	1	12070
1204.544534	5	4	10	1	1	Eabs	mean	1	9868
2282.480733	5	5	1	1	1	Eabs	mean	1	4236
2345.023525	5	5	2	1	1	Eabs	mean	1	8138
2345.324992	5	5	3	1	1	Eabs	mean	1	14041
2303.929114	5	5	4	1	1	Eabs	mean	1	22917
2213.472051	5	5	5	1	1	Eabs	mean	1	33385
2168.200616	5	5	6	1	1	Eabs	mean	1	38871
2120.582478	5	5	7	1	1	Eabs	mean	1	38130
2053.583271	5	5	8	1	1	Eabs	mean	1	33690
1942.508462	5	5	9	1	1	Eabs	mean	1	27416
1779.175932	5	5	10	1	1	Eabs	mean	1	21243
3395.716447	5	6	1	1	1	Eabs	mean	1	7788
3437.081779	5	6	2	1	1	Eabs	mean	1	18381
3439.927294	5	6	3	1	1	Eabs	mean	1	38440
3372.734194	5	6	4	1	1	Eabs	mean	1	68126
3272.210318	5	6	5	1	1	Eabs	mean	1	100813
3191.148471	5	6	6	1	1	Eabs	mean	1	119283
3094.603906	5	6	7	1	1	Eabs	mean	1	115458
2981.806206	5	6	8	1	1	Eabs	mean	1	96928
2826.138032	5	6	9	1	1	Eabs	mean	1	73753
2579.624180	5	6	10	1	1	Eabs	mean	1	50151
4738.860389	5	7	1	1	1	Eabs	mean	1	14470
4782.584897	5	7	2	1	1	Eabs	mean	1	37039
4745.623704	5	7	3	1	1	Eabs	mean	1	80694
4650.852998	5	7	4	1	1	Eabs	mean	1	148772
4538.568142	5	7	5	1	1	Eabs	mean	1	227466
4424.769566	5	7	6	1	1	Eabs	mean	1	276646
4314.776891	5	7	7	1	1	Eabs	mean	1	269932
4179.715952	5	7	8	1	1	Eabs	mean	1	226541
3987.745587	5	7	9	1	1	Eabs	mean	1	167896
3671.843021	5	7	10	1	1	Eabs	mean	1	108540
6325.807399	5	8	1	1	1	Eabs	mean	1	21286
6457.503931	5	8	2	1	1	Eabs	mean	1	51771
6467.087900	5	8	3	1	1	Eabs	mean	1	110066
6383.634686	5	8	4	1	1	Eabs	mean	1	204454
6229.356956	5	8	5	1	1	Eabs	mean	1	314134
6095.320676	5	8	6	1	1	Eabs	mean	1	385230
5935.892418	5	8	7	1	1	Eabs	mean	1	382107
5749.284127	5	8	8	1	1	Eabs	mean	1	327292
5494.986825	5	8	9	1	1	Eabs	mean	1	248452
5108.037907	5	8	10	1	1	Eabs	mean	1	163447
8190.911640	5	9	1	1	1	Eabs	mean	1	20914
8628.367298	5	9	2	1	1	Eabs	mean	1	49708
8760.693110	5	9	3	1	1	Eabs	mean	1	109635
8671.358651	5	9	4	1	1	Eabs	mean	1	206957
8505.410535	5	9	5	1	1	Eabs	mean	1	320637
8316.656737	5	9	6	1	1	Eabs	mean	1	396135
8087.380430	5	9	7	1	1	Eabs	mean	1	397277
