tSigma	L	C	S	PYRAMIDLVL	TARGET	response_type	statistic	eccentricity	N
19.339552	4	2	7	1	1	tMatch	sigma	1	2054
23.187084	4	2	8	1	1	tMatch	sigma	1	1623
28.849982	4	2	9	1	1	tMatch	sigma	1	1099
34.074189	4	2	10	1	1	tMatch	sigma	1	618
6.826009	4	3	1	1	1	tMatch	sigma	1	340
7.663967	4	3	2	1	1	tMatch	sigma	1	913
8.969695	4	3	3	1	1	tMatch	sigma	1	1772
10.629133	4	3	4	1	1	tMatch	sigma	1	3534
13.703819	4	3	5	1	1	tMatch	sigma	1	5536
18.631403	4	3	6	1	1	tMatch	sigma	1	6049
24.193375	4	3	7	1	1	tMatch	sigma	1	5929
30.305335	4	3	8	1	1	tMatch	sigma	1	5369
37.709569	4	3	9	1	1	tMatch	sigma	1	4579
46.071755	4	3	10	1	1	tMatch	sigma	1	3065
10.942184	4	4	1	1	1	tMatch	sigma	1	709
11.570611	4	4	2	1	1	tMatch	sigma	1	1515
13.690229	4	4	3	1	1	tMatch	sigma	1	3240
15.751980	4	4	4	1	1	tMatch	sigma	1	6044
19.263108	4	4	5	1	1	tMatch	sigma	1	9920
25.065401	4	4	6	1	1	tMatch	sigma	1	12286
32.421919	4	4	7	1	1	tMatch	sigma	1	12492
40.975383	4	4	8	1	1	tMatch	sigma	1	11416
50.581893	4	4	9	1	1	tMatch	sigma	1	9833
62.897973	4	4	10	1	1	tMatch	sigma	1	7754
15.529771	4	5	1	1	1	tMatch	sigma	1	2025
17.058463	4	5	2	1	1	tMatch	sigma	1	4836
19.811616	4	5	3	1	1	tMatch	sigma	1	9733
23.214738	4	5	4	1	1	tMatch	sigma	1	17399
28.319610	4	5	5	1	1	tMatch	sigma	1	26930
36.161933	4	5	6	1	1	tMatch	sigma	1	32883
46.023519	4	5	7	1	1	tMatch	sigma	1	32648
58.095721	4	5	8	1	1	tMatch	sigma	1	28696
71.826740	4	5	9	1	1	tMatch	sigma	1	23007
88.836279	4	5	10	1	1	tMatch	sigma	1	17222
20.541839	4	6	1	1	1	tMatch	sigma	1	5933
23.108204	4	6	2	1	1	tMatch	sigma	1	15658
27.581150	4	6	3	1	1	tMatch	sigma	1	34500
33.223761	4	6	4	1	1	tMatch	sigma	1	62934
41.044645	4	6	5	1	1	tMatch	sigma	1	96458
52.278341	4	6	6	1	1	tMatch	sigma	1	113981
67.204295	4	6	7	1	1	tMatch	sigma	1	108897
85.118350	4	6	8	1	1	tMatch	sigma	1	89531
105.460727	4	6	9	1	1	tMatch	sigma	1	65611
129.364754	4	6	10	1	1	tMatch	sigma	1	41476
30.309015	4	7	1	1	1	tMatch	sigma	1	12280
34.613837	4	7	2	1	1	tMatch	sigma	1	32513
40.277915	4	7	3	1	1	tMatch	sigma	1	72889
48.444733	4	7	4	1	1	tMatch	sigma	1	136224
59.690152	4	7	5	1	1	tMatch	sigma	1	209410
75.765377	4	7	6	1	1	tMatch	sigma	1	256339
97.491715	4	7	7	1	1	tMatch	sigma	1	249644
123.668389	4	7	8	1	1	tMatch	sigma	1	208185
153.816629	4	7	9	1	1	tMatch	sigma	1	151080
189.473624	4	7	10	1	1	tMatch	sigma	1	94388
45.059954	4	8	1	1	1	tMatch	sigma	1	18374
51.236721	4	8	2	1	1	tMatch	sigma	1	45616
59.905435	4	8	3	1	1	tMatch	sigma	1	99151
71.638674	4	8	4	1	1	tMatch	sigma	1	185737
87.990784	4	8	5	1	1	tMatch	sigma	1	287215
111.645123	4	8	6	1	1	tMatch	sigma	1	351970
143.160460	4	8	7	1	1	tMatch	sigma	1	347027
181.213845	4	8	8	1	1	tMatch	sigma	1	294171
224.441980	4	8	9	1	1	tMatch	sigma	1	220302
275.798827	4	8	10	1	1	tMatch	sigma	1	139832
67.728213	4	9	1	1	1	tMatch	sigma	1	16988
75.692114	4	9	2	1	1	tMatch	sigma	1	42121
86.919335	4	9	3	1	1	tMatch	sigma	1	94735
104.223941	4	9	4	1	1	tMatch	sigma	1	181432
129.255811	4	9	5	1	1	tMatch	sigma	1	282015
164.449867	4	9	6	1	1	tMatch	sigma	1	347477
210.613455	4	9	7	1	1	tMatch	sigma	1	348080
265.112169	4	9	8	1	1	tMatch	sigma	1	296609
328.045237	4	9	9	1	1	tMatch	sigma	1	220533
400.062196	4	9	10	1	1	tMatch	sigma	1	138436
101.775136	4	10	1	1	1	tMatch	sigma	1	10490
111.809736	4	10	2	1	1	tMatch	sigma	1	25639
126.680224	4	10	3	1	1	tMatch	sigma	1	59035
151.190539	4	10	4	1	1	tMatch	sigma	1	118524
